Block_ID,Hash,Date,Time,Size,Weight,Input_total_usd,Output_total_usd,Fee_usd
500486,c3b4ffd4956a185c0363e0ba04c13ea8be71f063c8dd8960349dde3d9e626b81,12/22/17,12/22/17 3:46,20593,82372,97481900,97478200,3647.23
501451,344e65a29f5d9916abc664e0de7a57b443c637acd4f2aa5c1a4737ba05ea9193,12/28/17,12/28/17 18:02,15699,62796,275498000,275497000,1422.09
500211,6bf22bfc9197da0517733076863a882977b725ca41711e35615423359e536025,12/20/17,12/20/17 3:38,7761,31044,643738000,643737000,873.412
593468,4410c8d14ff9f87ceeed1d65cb58e7c7b2422b2d7529afc675208ce2ce09ed7d,9/6/19,9/6/19 3:30,13611,54444,1000220000,1000220000,691.641
