Block_ID,Hash,Date,Time,Size,Weight,Input_total_usd,Output_total_usd,Fee_usd
169946,d638ecc67cc2397b86c38b154c47a0d24d4566cf529d90bc1c500ddfc4d0737c,2012-03-06,2012-03-06 23:11:23,470,1880,567.693,565.228,2.465
170157,f573ad0f0d1f555e6dfc909ce7b8a33e1097bdd57680848c5ce0e6bae25a2247,2012-03-08,2012-03-08 08:03:11,5653,22612,30.75,29.5692,1.1808
170160,589ca61f06e58845cb95c89ea393b6e659179831d1ba6b03e25ff9863dff1513,2012-03-08,2012-03-08 08:17:46,29416,117664,4520.52,4519.04,1.476
170402,a40bc50af65e68197f0766638af9344eb299370cff129765a5da6e1c01dcb9f7,2012-03-09,2012-03-09 19:53:49,26728,106912,118.247,116.932,1.3149
170437,73ded2022ff8a6b8a5c66605e1cb8957a29f1fab08100fe640ed73bdb38d640e,2012-03-10,2012-03-10 01:20:28,12492,49968,490.418,489.049,1.3692
170438,10a220803be8aa07778e93dfc49990639dce1b59a89c0e2679631c93a52e10a5,2012-03-10,2012-03-10 01:28:49,470,1880,462.714,460.428,2.28607
170438,22fb505822f653d36f7ac91dc14ffbfcf55d425ef1eadd55c7ba94ff06a0ec11,2012-03-10,2012-03-10 01:28:49,25994,103976,33.1542,31.8339,1.3203
170673,5b5ccd1b793b53d8489c11f30e9a69741a5a45202cae0cf0f49bbdb6c0cf1c25,2012-03-11,2012-03-11 15:08:00,49565,198260,52.848,50.448,2.4
170809,a33cbf58deebc4b87a95b67eb9837e4d062188c4c4a554cf7175b406b7b10470,2012-03-12,2012-03-12 11:28:54,2058,8232,1108.56,1107.1,1.467
170902,bcb550b59dbcc295b2eea19c3bed680ffb61908d69c58a51891b12e5fb8b3f36,2012-03-13,2012-03-13 01:47:26,619,2476,79.1576,77.9863,1.17123
170993,9c6d0c64f75395440654aacac2be1c68fe61287198bd32b0bacc21e1bf342970,2012-03-13,2012-03-13 15:11:20,257,1028,1938.26,1909.77,28.4919
171001,a889eedd78121635ced65e1f1a1c483c6086768efa3a6d6bf9ab745458a08f14,2012-03-13,2012-03-13 16:29:00,470,1880,384.52,382.616,1.9032
171024,3fb191d1e9a2a8a6de5d50bfed6cab69f5a9f388542596912eef2d98238dae74,2012-03-13,2012-03-13 19:57:17,4219,16876,47.5313,46.3138,1.2175
171061,4b31a1ad0e36d67aeedb9ff32d774579a1eeb6d9be49e9240368e5c79292a847,2012-03-14,2012-03-14 01:12:17,1519,6076,6441.14,6440.11,1.03
171063,ad5625ed5747f1a5330b5c9f73da1fecf9a5c5ff0fb66c02fb057a571a9345c4,2012-03-14,2012-03-14 01:41:27,224,896,183.929,181.354,2.575
171356,4b0a6ca5f08277abaf98c24f9f283d4338320938f972479d3406589107c10792,2012-03-16,2012-03-16 07:51:35,16034,64136,3123.56,3122.55,1.007
171369,77b5ad56db427aeb02920aa47e6d3baafe52772bec679bedee4de83c3207a67f,2012-03-16,2012-03-16 09:27:50,7277,29108,17829.3,17808.1,21.2
171404,64dfb12005b50202025020995d991b8deade2f7ad967b4982b610810930acf7a,2012-03-16,2012-03-16 14:09:04,258,1032,270.3,269.293,1.007
171449,0fe333e3540a0a0d521cf7c7ab19620ab440487723a44aa464a213939b9ee683,2012-03-16,2012-03-16 21:50:03,470,1880,397.824,396.101,1.7225
171564,1edc567c0723cf25417e40e970ef440c443cd6230a9758a3f5e27230ffc13163,2012-03-17,2012-03-17 14:23:40,470,1880,256.846,255.577,1.26854
171606,25c862ab06964a5e119af6fb95e61a6fffd7278bad5cafbdcc1e05f85015e25c,2012-03-17,2012-03-17 20:55:32,649,2596,425.061,422.969,2.09203
171823,ebf8ab472ffd622665c9bdb850c664769683be6cb9f51d1e586875a7ab95f375,2012-03-19,2012-03-19 04:24:09,32475,129900,7855.27,7853.55,1.7226
171892,d8bf7b3a48aa26a685f682d61feb4a185fb255670132331d81fccef46d601bec,2012-03-19,2012-03-19 15:37:03,470,1880,386.451,384.968,1.48248
171924,6f05d3cf77f42e12a8ae6bd903bb299605b151500b9fdd64ffa5737b16192f62,2012-03-19,2012-03-19 20:18:48,1518,6072,1147.41,1146.36,1.044
172060,0e69710e20677d4fb8653cb60e7bb1a0f032a79087e1e9f6ad7f83fb5f834620,2012-03-20,2012-03-20 17:51:26,34809,139236,158.018,156.31,1.708
172099,41d456003bc04467d3fdda38c1957c3d6f0284076108b7de9a17702b184e001d,2012-03-20,2012-03-20 23:46:05,799,3196,632.497,630.057,2.44
172431,5f38105409dddfd16c5251734c31e698b5882f903ceab8fd6ddd12ba53d71bb4,2012-03-23,2012-03-23 03:00:56,225,900,286.615,285,1.615
